	variable	value	class
348	XG1	17.607694116316654	Severe covid
349	XG1	14.319869165747582	Severe covid
350	XG1	18.130080167461042	Severe covid
351	XG1	20.33270312665349	Severe covid
352	XG1	22.04963404453042	Severe covid
353	XG1	22.285154119171516	Severe covid
354	XG1	20.876858634894443	Severe covid
355	XG1	20.807420372256082	Severe covid
356	XG1	18.945167499029296	Severe covid
357	XG1	20.735447358255186	Severe covid
358	XG1	14.460438649652543	Severe covid
359	XG1	17.81887049732976	Severe covid
360	XG1	17.635962949234454	Severe covid
361	XG1	18.558173226986003	Severe covid
362	XG1	21.703524591038637	Severe covid
363	XG1	15.273611936698966	Severe covid
364	XG1	17.51611286871015	Severe covid
365	XG1	18.86108993584571	Severe covid
366	XG1	16.793388687348884	Severe covid
367	XG1	15.095059090587911	Severe covid
368	XG1	18.79255986351373	Severe covid
369	XG1	19.438678163105948	Severe covid
370	XG1	20.056638872644793	Severe covid
371	XG1	19.63852418737351	Severe covid
372	XG1	22.072715703208356	Severe covid
373	XG1	20.56204172379721	Severe covid
374	XG1	14.8899588834345	Severe covid
375	XG1	20.54936941568492	Severe covid
376	XG1	17.53603729162715	Severe covid
377	XG1	17.532852896252205	Severe covid
378	XG1	18.868717073131485	Severe covid
379	XG1	19.988693613592062	Severe covid
380	XG1	21.82451033730003	Severe covid
381	XG1	18.290337835635935	Severe covid
382	XG1	15.874415958062468	Severe covid
383	XG1	18.265834631309424	Severe covid
384	XG1	18.522990920479828	Severe covid
385	XG1	20.62914569486679	Severe covid
386	XG1	18.91921014000328	Severe covid
387	XG1	22.09872029127242	Severe covid
388	XG1	18.206424632914675	Severe covid
389	XG1	17.351302548771546	Severe covid
390	XG1	23.364197187484187	Severe covid
391	XG1	24.459549562644973	Severe covid
392	XG1	17.83155205669705	Severe covid
393	XG1	18.51125970214948	Severe covid
394	XG1	22.419541437497696	Severe covid
395	XG1	17.674498434490104	Severe covid
396	XG1	19.4083531960237	Severe covid
397	XG1	18.329359349204463	Severe covid
398	XG1	20.74986114344217	Severe covid
399	XG1	19.129696816646465	Severe covid
400	XG1	17.262883827394383	Severe covid
401	XG1	19.017239319386036	Severe covid
402	XG1	14.908760556791401	Severe covid
403	XG1	17.51344015387486	Severe covid
404	XG1	15.367772261329096	Severe covid
405	XG1	16.99690960436278	Severe covid
406	XG1	16.07161129620437	Severe covid
407	XG1	16.97503670639885	Severe covid
408	XG1	23.01818863055491	Severe covid
409	XG1	20.21131500569403	Severe covid
410	XG1	18.751147245734206	Severe covid
411	XG1	15.52405610411948	Severe covid
412	XG1	19.18597878702853	Severe covid
413	XG1	20.685236853175915	Severe covid
414	XG1	23.935566323653138	Severe covid
415	XG1	14.949933459313725	Severe covid
416	XG1	19.28931704859015	Severe covid
417	XG1	0.802	Severe covid
418	XG1	0.766	Severe covid
419	XG1	0.0	Severe covid
420	XG1	1.121	Severe covid
421	XG1	0.865	Severe covid
422	XG1	0.679	Severe covid
423	XG1	1.225	Severe covid
424	XG1	0.0	Severe covid
425	XG1	0.0	Severe covid
426	XG1	0.0	Severe covid
427	XG1	0.801	Severe covid
