	XG1	XG10	XG11	XG13	XG14	XG15	XG16	XG17	XG18	XG19	XG2	XG26	XG27	XG29	XG3	XG31	XG33	XG34	XG35	XG36	XG37	XG38	XG39	XG4	XG40	XG42	XG5	XG6	XG7	XG8	XG9	pvalue	fc	ids	meta
1545	20.082631963957258	16.27390015221413	19.26666388728223	16.572637089436384	16.27390015221413	18.787270994421952	16.27390015221413	16.444469988811353	17.73268582754872	16.27390015221413	16.27390015221413	16.27390015221413	16.27390015221413	16.27390015221413	16.27390015221413	17.625747631379486	17.240919988778245	16.27390015221413	16.305925358419394	16.27390015221413	16.908566521146536	17.870800602122188	16.907705976257663	16.27390015221413	16.27390015221413	16.27390015221413	16.27390015221413	17.377427672531166	16.27390015221413	18.250133142662843	16.27390015221413	0.6934571329543665	0.39445546397208275	sphinganine	0
1546	24.114727442854146	24.109798938150387	24.638572243828307	23.95362321695593	24.42757781646408	24.15260499313913	24.250202407161833	24.418598087249993	23.74575924827841	23.248644810509216	23.77954072943945	24.943312686689833	24.23117356276544	24.48841325930582	24.463029258916894	25.17378432322615	23.798436697286988	23.84122888351651	24.771990107949186	23.779416590083652	24.67257586952101	23.788555852143503	24.825868518295486	23.025820687796003	23.90065936615969	24.01729981668411	24.481525387967206	24.38851017836874	22.936243613837885	23.681167837253646	24.497697275499448	0.16117778944980274	-0.30816882627167885	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	0
1547	23.02316076847279	22.638646369151857	23.92251680601175	22.123059209806332	22.724023221513825	21.93158209452678	21.875556076471376	23.39404774225645	21.597411430117052	22.92566653036233	21.82488000331923	23.521446005545176	22.583853703884916	23.205410259461516	24.0457310036143	24.576930954112157	22.97982088753809	22.10024782696172	22.462832363513655	23.722499565909697	23.648266287086795	21.874604227413823	24.46034565134036	22.832680771536513	22.310519454083597	22.872896715147316	23.629873295459827	23.63063963063302	21.39284329900788	23.20959391973774	22.345633183848754	0.2979530616081658	-0.3755386350852845	sphingomyelin (d18:0/18:0, d19:0/17:0)*	0
1548	21.49231029899205	21.053640896091594	21.595155021953644	20.620690793153518	20.422980582389233	20.767217818348477	20.485577525239368	22.212438793845575	19.372102112501466	20.79765875557775	18.615152747274287	21.191165419104287	19.967377378484823	21.30991968382614	22.061592034637016	22.49216688085726	21.561057036961973	20.113727066265948	20.824928061682986	21.49360799436182	21.63484715785599	19.950791610994685	22.10968752773092	19.92096593042844	20.720449583824745	20.962997468086773	21.60067608720185	21.091631983620335	18.615152747274287	21.344502348527513	19.86239435793708	0.24562312725030297	-0.4396370974605759	sphingomyelin (d18:0/20:0, d16:0/22:0)*	0
1549	25.402901722845424	24.763266272967673	24.96751652122973	24.058880095480802	24.897475004689465	24.98434726539498	24.577901067322326	24.995184023650452	24.76830579937148	24.41575221109929	24.433818071272135	25.428461643392808	24.822192012935595	25.046656428500377	24.87123061722539	25.903852892040707	24.987266961699067	24.599367273904395	24.94675272742365	24.652193217937413	24.809531464238262	24.835373597787065	25.475330200909728	23.866007036831366	24.521676512547227	24.82853524417149	25.074234742616163	25.232789496526618	24.008551210103082	24.44675809210095	25.29149561633203	0.2146082638750779	-0.26365824753422373	sphingomyelin (d18:1/14:0, d16:1/16:0)*	0
1550	23.355498429983097	23.585647516947752	24.136026562721135	23.16789234041092	23.73893616643253	23.45415493374641	23.36826319040214	23.728689278206414	22.904923149020455	22.23241946324986	23.30529068817883	24.607201386266	23.76324803426909	23.974061625923227	23.684074300895997	24.72020020395819	23.272139525826653	23.290665330456594	24.053971606511773	23.250575569706466	23.962187331719527	23.303049092165445	24.131868261756047	22.614984428648434	23.0533308276428	23.197648953470825	23.848383777425042	23.91187397022862	22.619549802107827	23.002348917626463	23.923979725716965	0.1495413545846106	-0.37121573995201373	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	0
1551	25.636135920378482	25.431079903667037	25.998638028647136	24.983744545045077	25.86294811798101	25.00476755610595	25.189819583154197	25.387872578559627	25.3039851274608	24.879894867506916	25.63805204425869	25.91947339932451	25.70364635355485	25.62062267456547	25.84315364665469	26.258678596285243	25.329829863089493	25.42061022522101	25.511262477434244	25.129399370800634	25.57885521489913	25.31742793361772	25.809722309888407	25.28835313760069	25.02537092080046	25.5588671093369	25.551739118713524	25.89032282459915	24.601327724945076	25.31285304946288	25.43845278784815	0.2979530616081658	-0.15020072121823347	sphingomyelin (d18:1/18:1, d18:2/18:0)	0
1552	22.756513465003867	22.341295665158036	23.143414978881356	21.813289564228473	22.63065951415124	22.306191888276263	21.964271321083622	22.774638685130242	21.50608041794376	21.352662845104522	22.53571511049404	23.8871101471639	22.587281370033168	23.228926407234617	22.605843900408782	23.857299545698513	22.640597775609447	21.412420087189723	22.764124852059766	21.991211630358187	22.76865199128897	21.64726023393104	22.70590222205971	21.505051924002935	21.947674923760548	21.914292785387882	22.972006207646324	23.30455701266676	21.757385532843045	21.990299628626747	23.09101304735871	0.4961596578003604	-0.21276919775574754	sphingomyelin (d18:1/19:0, d19:1/18:0)*	0
1553	27.033340825623974	26.603305666486385	26.649285236509925	26.01116394308735	26.56894337020724	26.540781000744342	26.164746761788223	26.766186554977	26.061656632765025	25.755605828601222	26.57518640618965	27.344297939955553	26.697819711685238	27.115358676815312	26.94243736556248	27.606953772543747	26.691477945197782	26.240554073246994	26.91033832498075	26.50462783536921	26.88149825186678	26.236972112084118	26.963259914705812	26.057050894885943	26.13569817154901	26.38620773543217	26.880926726351912	27.009873370196225	25.985112996920765	26.58155655197157	27.036514052169416	0.18648226957458205	-0.2348863075738521	sphingomyelin (d18:1/20:0, d16:1/22:0)*	0
1554	24.938670489899362	24.828466289919767	25.141686981033942	24.585039088295424	24.789041944992235	24.679294742315264	24.533030480239013	24.650366911103625	24.352670387502346	23.892769583598962	24.693684110920533	25.171443458582324	24.78652339952185	25.152165367147823	24.97762546350912	25.357184300802647	24.684226507831344	24.324999734864605	24.985887440113586	24.040952031121428	25.005580178326024	24.20731823476192	24.825077080975714	24.190677868153166	24.289365600164395	24.686515274202726	24.770633348002086	25.233445457528788	23.883677699008636	24.644795982056603	24.831947651876057	0.4468908035108523	-0.08667725090632672	sphingomyelin (d18:1/20:1, d18:2/20:0)*	0
1555	19.841964211301743	19.836479487669813	20.94028007755673	19.04447550133807	20.55535409589802	20.385830284516267	19.953702513629484	19.186740542041786	19.706536909624685	19.93208198722337	19.529991662339633	20.077946824754534	19.77097847798743	20.4868780973606	21.11079025538095	21.406985285862497	20.559097901366492	20.037503386547957	20.361807000793455	19.470399587703632	20.6573182314881	19.26012416311182	21.30452164202962	19.353073848310565	20.29920298665752	20.452263866835978	19.38322360019012	21.439264151631928	18.492565800008844	19.644164569861964	19.395453988044007	0.0716332837657289	-0.4448497385453365	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	0
1556	25.125251856247605	24.25616347227211	24.679930613634497	24.00048181492322	24.164139538575935	24.49371389461151	23.990074785023086	24.82419701318796	23.489922909440633	23.531602295367254	24.106352391486215	25.535506295144945	24.3955073329876	24.907604765951827	24.64379157788563	25.601894082968652	24.786364361074202	23.997131833888755	24.90834717225544	24.216526961726984	24.35249191841049	23.837060611955973	24.76675767201108	23.42509780854884	23.90065936615969	24.259123297172	25.044432642957904	24.99263006711636	24.066625799731845	24.073078855616473	24.887195788732804	0.3366683676100369	-0.25230205752589185	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	0
1557	27.64541546337459	27.026900603439447	27.158804274589222	26.75894659017358	26.841893209304985	27.080877368072063	26.97984251360722	27.18618982135339	26.393867774694083	26.00637915890254	26.842118100932232	27.669785158897515	27.300389709193606	27.67321276711792	27.49709007481385	27.903860796916817	27.083364891719384	26.76164374821873	27.42106744763448	26.67876302381218	27.283917641892906	26.59060989152857	27.475104293349332	26.27678977807234	26.613266883251928	27.030087000731825	27.381564469740912	27.606989342108193	26.38573603798879	27.040020764088847	27.538672650754297	0.2623316754083529	-0.21070959243006726	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	0
1558	23.154429532832648	23.204950626815705	23.99128447562411	22.99417360328912	23.312722204204512	23.672149172102557	23.35938389091013	22.904013279015906	22.750516247152632	22.595861389232322	22.838747290449017	23.803234530719628	23.129394182247513	23.642274954334667	23.83922714750771	24.04805992227483	23.55494418993621	23.131915662825996	23.719134033995573	23.13021877075185	24.142255886151275	22.523961498677398	24.46360282251039	22.57443276726877	23.07194118508307	23.300059804971482	23.36669960113474	24.05006717540197	22.137174405227253	22.924870934058962	23.34229187236071	0.13855716961284373	-0.34499577355121147	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	0
1559	28.74834366169231	28.600934532445216	28.844709403444277	28.55642934060459	28.17479283198577	28.818943421518597	28.72778203109335	28.829043970451266	28.228202172963453	27.8455980101356	28.42440044259418	28.88252971125808	28.673219885319234	29.150506395056382	29.190454528056332	29.591012643971702	28.53076851430735	28.531008010891263	29.136118117000542	29.004569386464986	29.317569669045664	28.28731177881883	29.70029185840238	27.98676266145581	28.431052860559916	28.78693492359906	28.58433508625737	29.122027300308083	27.732231614914625	28.486734629100237	29.31222959345645	0.0655521611655033	-0.35739602377055135	sphingomyelin (d18:1/24:1, d18:2/24:0)*	0
1560	21.725094317233314	20.74993528825762	21.034825991635557	19.724579424589443	20.42623352551438	20.13400023975736	20.110607720637343	20.859684822983894	20.71346675352126	18.821210805960778	20.298061588551377	20.588917719843916	20.2457917553678	20.910935546913226	20.432644861308564	21.57514912030843	20.594321756085126	20.333952404333388	20.31665193725012	19.08035319184028	20.009980976276328	20.66062585508593	20.45526262001869	17.826123859805218	19.732800703710158	20.565335129516193	20.481081757927672	21.438645805647372	20.137763381765975	20.044413464671177	20.728016813548948	1.0	-0.0740954760460184	sphingomyelin (d18:2/14:0, d18:1/14:1)*	0
1561	26.78980713714436	26.424278051682897	26.42489041487187	25.885435535344143	26.627944378877235	26.30959611493191	26.596067907290188	26.26440165043645	26.174346200028097	25.56261358237125	26.391298926057125	26.53537541420876	26.720989324288944	26.60834056176078	26.860974228918465	27.181614529045085	26.24048332469347	26.268772417179346	26.64737981151509	26.06711591568402	26.73001709270589	26.295728864232334	27.114846405920233	25.782054681222675	26.13074571980054	26.6173636562908	26.39090339299257	26.84973284829394	25.583083800743836	26.063065701093763	26.731044894581174	0.2456707274390407	-0.2333671019760324	sphingomyelin (d18:2/16:0, d18:1/16:1)*	0
1562	21.349531500994498	21.236692042430967	21.514896171682757	20.664928225120466	21.690686257507554	21.625080951485987	21.22731554064011	21.14038591719105	20.93698930801058	20.36389492207069	21.423816076620014	21.536403749626423	21.63626759915629	21.75069860486617	21.902897461873096	22.243317538138854	21.19947375789465	20.568692580398096	21.341373312885146	20.42340525089689	21.516952876451597	20.11418030882193	22.076185539272224	20.34611966313485	20.89826896295082	21.18463006888964	21.047772610951807	22.09455872638087	19.713160144655372	20.828206132270104	21.231419986969506	0.5218393903336159	-0.13854158711368214	sphingomyelin (d18:2/18:1)*	0
1563	21.770972430859572	21.55016021907645	22.07959448233454	21.234773293271353	21.505148747567244	21.622729729260268	21.40162471628583	21.753062567960075	20.68822245142713	20.207168222181743	21.111797603670144	22.26392018846997	21.8034244373299	22.064866085974106	21.67960680740248	22.785562320841937	21.997909068288266	21.02553702313912	21.99159484866769	20.891929774628295	21.990002051828363	20.703483085941787	22.24274497793464	20.594147001883826	21.09682226413445	21.56778854053765	21.960027570378422	22.63291856275748	21.178726845339412	20.7455844711369	21.747703856047952	0.11846489387154585	-0.31037999783744397	sphingomyelin (d18:2/21:0, d16:2/23:0)*	0
1564	26.25438739763861	25.769818679158192	26.107237352873884	25.56590103719632	25.565270622864563	25.85418336865548	25.675578066286757	26.02568925273927	25.134427730355565	24.686485459420638	25.517669027744475	26.49138473830834	25.926160783568392	26.28771252043763	26.114572251987244	26.89278060608398	25.84330980589224	25.633084580299062	26.294015172774483	25.578585067665756	25.96845393368667	25.34267302020517	26.33622976914815	24.89705976091655	25.204039432164134	25.91140616071587	26.13816678652109	26.488965547366078	25.199443802740518	25.420208124892167	26.249642988599618	0.13855716961284373	-0.2740848131780176	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	0
1565	21.767649028094226	21.71797454563387	22.671539986943028	21.31405142749672	21.732569182663546	21.811995600810306	21.853103539317896	21.80133497663844	21.1572812395064	20.530975635943495	21.33777622836389	22.6729235874588	21.85625273267018	22.451341930646656	22.27188927708316	23.040333706102274	21.92890713884995	21.80109603627101	22.414153065428234	21.48870499572158	22.563713219682764	21.191229891258025	22.9765403505228	19.56040829139254	21.401026621499504	21.770811063968825	22.19096430170243	22.718760494961256	20.686352086831054	21.273714369993876	21.966520677747717	0.054663935891675085	-0.5439462672514566	sphingomyelin (d18:2/23:1)*	0
1566	27.62110234444082	27.681865279483876	28.020235134303807	27.41413022054997	27.304102837902324	27.80451264137635	27.758341159023242	27.56721455128609	27.20037107565794	26.56516008313945	27.31051598711826	27.829272228962225	27.701487849385504	28.08445563772149	28.14853352594967	28.406273137835893	27.52743989834542	27.59340320538506	28.10372001424051	27.5934951893581	28.300574042796537	27.18199054675587	28.592539272928835	26.855682425659523	27.416034782868124	27.75155069896085	27.509357618262957	28.223364090853188	26.725292503998478	27.474433537858204	28.103831246271127	0.07816908582428338	-0.33647716102154135	sphingomyelin (d18:2/24:1, d18:1/24:2)*	0
1567	24.374225620315823	24.367703484477722	24.7414435322774	23.883877810979385	23.970545660206472	24.54456311912093	24.288258077170422	23.609608013433203	24.059750596049692	23.450230977098055	23.77720162816711	24.734403771972957	24.062748266116767	24.630505104213118	24.836382016897915	24.915447333610807	24.23603638804413	23.961459939490805	24.648679811291863	23.689931129001142	24.69740274991242	23.603694818098933	25.014101710369737	23.274981224286936	24.101048671203337	24.5351599034969	24.336573025250903	25.23181854249348	23.451632205418452	24.277546930063924	24.416705024897816	0.2623316754083529	-0.21086126235443814	sphingomyelin (d18:2/24:2)*	0
1568	19.58781562154823	18.650963414318383	20.40110893447203	17.827492540694028	17.50342870780757	20.24954505357875	17.67523928091948	18.281912769463787	19.177190941570007	17.869264175712697	17.349874441269908	17.349874441269908	17.349874441269908	17.349874441269908	17.349874441269908	19.398326185050344	17.349874441269908	17.681949112843597	18.293194757558613	19.43397772015844	18.252802128165733	18.86480693192188	18.76423664448674	17.349874441269908	18.854970698537205	18.660439256370204	17.349874441269908	17.349874441269908	17.349874441269908	19.05607984217564	17.349874441269908	0.6523819117330092	-0.07007055888099956	sphingosine	0
1569	19.238321346969485	19.17752583895537	18.643765600404897	18.597169975004345	18.867327386042064	19.381279553889698	18.51543649114791	19.117712370808448	18.914958517215595	18.15103326694419	18.82872669115641	18.204223359242842	18.200532273185036	19.304121085643477	18.996035948500914	19.301178687159563	18.62458185498372	18.138544768899894	19.358673063612397	18.194848362965928	18.943131743601594	19.36231160452589	19.121084635166333	18.84096352853924	19.07612599330787	19.265422471182536	18.696255165016627	19.686443247474728	18.852725322314107	19.248165155790208	18.798700202247016	0.8413552991063009	0.06614125917473856	sphingosine 1-phosphate	0
1570	28.584774568771415	26.616094362926926	25.670407188301954	27.518768276993494	29.16480260673737	27.516022911458254	25.156753559349156	26.052407851244787	27.673444414188527	23.59586025130989	27.988039642859054	26.937248175650204	26.322513955204023	29.98653023528099	27.403574712192945	28.20112153110172	28.27612909207125	24.854921633752266	27.114067488256854	30.003027499442418	28.03258421760671	26.884888292565122	26.54913482875523	27.602285881209397	26.202821069784374	25.982582041054172	27.428565918176055	27.22338987065153	25.749489646112412	23.214725688400993	26.831195696564137	0.5218393903336159	-0.6127282968915715	stachydrine	0
